date,price,dividend,small,large,rf,cpi,unemp_rate,ind_prod
192606,0.977556476,0.006974878,0.001354,0.053729,0.0022,17.700,,6.7592
192607,1.006125565,0.002133957,0.001958,0.039044,0.0025,17.500,,6.7870
192608,1.031638897,0.003304531,0.00541,0.035295,0.0023,17.400,,6.8704
192609,1.031669846,0.00593086,0.004253,0.011451,0.0032,17.500,,6.9817
192610,0.999616895,0.002135668,-0.022551,-0.02716,0.0031,17.600,,6.9817
192611,1.022587092,0.00556509,0.00651,0.025669,0.0028,17.700,,6.9539
192612,1.044492953,0.00795382,0.018044,0.029075,0.0025,17.700,,6.9261
192701,1.044548311,0.002464694,0.003172,-0.002207,0.0026,17.500,,6.8982
192702,1.087552365,0.004377854,0.092438,0.041793,0.003,17.400,,6.9539
192703,1.085114072,0.006514039,-0.088693,0.012043,0.0025,17.300,,7.0373
192704,1.090685048,0.002265808,0.039481,0.010453,0.003,17.300,,6.8704
192705,1.149170852,0.004520029,0.075115,0.053249,0.0026,17.400,,6.9261
192706,1.117676676,0.007251481,-0.031104,-0.019647,0.003,17.600,,6.8982
192707,1.199120658,0.002689843,0.072731,0.086322,0.0028,17.300,,6.8148
192708,1.221230044,0.004852059,-0.004154,0.029562,0.0021,17.200,,6.8148
192709,1.27618906,0.00600129,-0.006315,0.051737,0.0025,17.300,,6.7035
192710,1.221831063,0.002324522,-0.05634,-0.042097,0.0021,17.400,,6.5645
192711,1.299171748,0.006288533,0.151983,0.06364,0.0022,17.300,,6.5645
192712,1.322824468,0.007234076,0.061282,0.015569,0.0025,17.300,,6.5923
192801,1.316076741,0.002326244,0.082891,-0.013901,0.0033,17.300,,6.7313
192802,1.292230746,0.004785151,-0.017513,-0.005626,0.0029,17.100,,6.7870
192803,1.402822438,0.006317936,0.023658,0.099223,0.0022,17.100,,6.8426
192804,1.461856012,0.002471127,0.224499,0.036652,0.0032,17.100,,6.8148
192805,1.482248903,0.005459715,0.12849,0.016,0.0031,17.200,,6.8982
192806,1.407708088,0.007466034,-0.104891,-0.034886,0.0032,17.100,,6.9539
192807,1.41844327,0.00249379,0.010951,0.00916,0.0032,17.100,,7.0373
192808,1.512324356,0.005694187,0.015433,0.067533,0.0027,17.100,,7.1764
192809,1.554729931,0.005222322,0.097367,0.022603,0.0041,17.300,,7.2320
192810,1.582170915,0.002449941,0.025601,0.01835,0.0038,17.200,,7.3711
192811,1.766308712,0.008084675,0.130821,0.124411,0.0006,17.200,,7.5102
192812,1.768689696,0.007424022,-0.042115,-0.000647,0.0034,17.100,,7.6493
192901,1.861273527,0.002806527,0.03707,0.059319,0.0036,17.100,,7.7605
192902,1.854971255,0.005464511,-0.007803,-0.003365,0.0034,17.100,,7.7327
192903,1.833091869,0.007385453,0.003639,0.004389,0.0036,17.000,,7.7605
192904,1.862045555,0.00253346,0.019042,0.020186,0.0044,16.900,,7.8996
192905,1.742930501,0.007525186,-0.166509,-0.056839,0.0052,17.000,,8.0387
192906,1.91386841,0.006088266,0.088769,0.104573,0.0033,17.100,,8.0943
192907,1.998363786,0.003457358,0.007532,0.055169,0.004,17.300,,8.2056
192908,2.162135694,0.006765003,-0.015796,0.103681,0.0035,17.300,,8.1221
192909,2.047032238,0.006004511,-0.034762,-0.057889,0.0046,17.300,,8.0665
192910,1.640669727,0.003738799,-0.229883,-0.188684,0.0037,17.300,,7.9274
192911,1.430677127,0.006848433,-0.143028,-0.127686,0.0037,17.300,,7.5380
192912,1.446089812,0.008024903,-0.055723,0.02018,0.0014,17.200,,7.2042
193001,1.5267903,0.003756033,0.240036,0.053463,0.003,17.100,,7.2042
193002,1.56396459,0.005937028,0.057641,0.027676,0.0035,17.000,,7.1764
193003,1.674335136,0.006340838,0.113523,0.071364,0.0021,16.900,,7.0651
193004,1.636729568,0.003208567,-0.081904,-0.010452,0.0026,17.000,,7.0095
193005,1.607905124,0.005885641,-0.071979,-0.008523,0.0027,16.900,,6.8982
193006,1.343792236,0.006870628,-0.237253,-0.152066,0.002,16.800,,6.7035
193007,1.396911,0.003267569,0.039041,0.041149,0.0009,16.600,,6.3976
193008,1.396099394,0.00592022,-0.05377,0.00862,0.0022,16.500,,6.2585
193009,1.215391081,0.006459105,-0.123727,-0.119795,0.0009,16.600,,6.1472
